finding_id,master_id,predictor_category,predictor,measurement_and_cutoff,preoperative_timing,outcome_domain,outcome_definition,response_definition_class,follow_up_category,reference_standard,association_direction,adjusted_or_unadjusted,covariates,studies_k,participants_n,synthesis_type,narrative_or_quantitative_result,evidence_type,clinical_interpretation,pdf,page_or_table,source_component
F-0051,FT-016,Gait test,Timed 10-meter walk / gait velocity,Most common walk test; suggested standardized calculation,Preoperative,Gait,Post-tap change,AUTHOR_DEFINED,CURTO,Temporary drainage response,RESPONSIVE,UNADJUSTED/NR,NR,49,NR,SYSTEMATIC MAPPING,Gait velocity over 10 m was frequently used and included in the proposed standardized protocol.,OUTCOME_MEASUREMENT,Useful core endpoint when protocol/timing are fixed.,MESCLADOS 1,M1 pp.52-59,SYSTEMATIC_REVIEW_COMPONENT
F-0052,FT-016,Cognitive response,Post-tap cognition,MoCA/other tests; no minimum threshold defined,Preoperative,Cognition,Post-tap change,NOT_REPORTED,CURTO,Temporary drainage response and shunt outcome,UNCERTAIN,UNADJUSTED/NR,NR,NR,NR,NARRATIVE,Minimum cognitive-improvement threshold and sufficiency without gait improvement were unresolved.,OUTCOME_MEASUREMENT,Do not classify cognitive response using an unvalidated cutoff.,MESCLADOS 1,M1 p.58,SYSTEMATIC_REVIEW_COMPONENT
F-0053,FT-016,Urinary response,Post-tap urinary change,Patient report/clinical assessment; no minimum threshold,Preoperative,Urinary,Post-tap change,PATIENT_CAREGIVER_REPORT,CURTO,Temporary drainage response and shunt outcome,UNCERTAIN,UNADJUSTED/NR,NR,NR,NR,NARRATIVE,Minimum urinary-change threshold was not defined.,OUTCOME_MEASUREMENT,Record separately; do not require gait-only response.,MESCLADOS 1,M1 p.58,SYSTEMATIC_REVIEW_COMPONENT
F-0054,FT-016,Response classifier,Negative tap test,No standardized definition,Preoperative,Global response,Post-shunt improvement despite negative tap,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,POOR RULE-OUT,UNADJUSTED/NR,NR,Multiple,NR,NARRATIVE,Review cautioned against using a negative tap test as the sole basis to deny shunting.,RESPONSE_CLASSIFIER,"Negative test should trigger broader evaluation, not automatic exclusion.",MESCLADOS 1,M1 pp.56-59,SYSTEMATIC_REVIEW_COMPONENT
F-0055,FT-018,Outcome measurement,Spatiotemporal gait parameters,Instrumented and clinical gait measures,Preoperative,Gait,Change after CSF removal/shunt,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Pre/post intervention,GENERALLY IMPROVES,UNADJUSTED/NR,NR,29,NR,NARRATIVE,"Gait speed, stride length and related parameters commonly improved after tap or shunt, but protocols varied.",OUTCOME_MEASUREMENT,Objective gait metrics are preferable to unstructured judgment.,MESCLADOS 2,M2 pp.149-159,SYSTEMATIC_REVIEW_COMPONENT
F-0056,FT-018,Outcome measurement,Physical activity behavior,Wearable/activity-monitor measures,Preoperative,Mobility,Change after treatment,STATISTICAL_CHANGE_ONLY,LONGO,Pre/post treatment,INSUFFICIENT EVIDENCE,UNADJUSTED/NR,NR,2,NR,NARRATIVE,Very few studies assessed real-world activity; laboratory gait improvement may not equal daily-life recovery.,OUTCOME_MEASUREMENT,Add patient-centered activity endpoints.,MESCLADOS 2,M2 pp.149-159,SYSTEMATIC_REVIEW_COMPONENT
F-0057,FT-018,Clinical factor,Age/symptom duration/treatment method,Heterogeneous,Preoperative,Gait,Change after treatment,AUTHOR_DEFINED,INDETERMINADO,Post-treatment gait,"POSSIBLE MODIFIERS, NOT FORMALLY TESTED",UNADJUSTED/NR,NR,32,1315,NARRATIVE,"Review noted that gait change may depend on age, symptom duration and treatment method, without consistent adjusted evidence.",PROGNOSTIC_FACTOR,Exploratory associations only.,MESCLADOS 2,M2 pp.149-159,SYSTEMATIC_REVIEW_COMPONENT
F-0058,FT-018,Response measurement,Laboratory gait versus real-world mobility,Multiple instruments,Preoperative,Mobility,Treatment response,NOT_REPORTED,INDETERMINADO,Pre/post treatment,NON-EQUIVALENT,UNADJUSTED/NR,NR,32,1315,NARRATIVE,Evidence base was strong for laboratory gait but weak for free-living physical activity.,OUTCOME_MEASUREMENT,Counsel that measured gait gains may not fully capture independence.,MESCLADOS 2,M2 pp.149-159,SYSTEMATIC_REVIEW_COMPONENT
F-0059,FT-020,Gait parameter,Gait velocity,Timed/instrumented walking,Preoperative,Gait,Change after tap test or shunt,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Pre/post intervention,IMPROVEMENT,UNADJUSTED/NR,NR,27,NR,NARRATIVE,Velocity was among the most consistently responsive parameters after CSF removal and shunting.,OUTCOME_MEASUREMENT,Core objective endpoint.,MESCLADOS 1,M1 pp.226-247,SYSTEMATIC_REVIEW_COMPONENT
F-0060,FT-020,Gait parameter,Stride length,Instrumented gait,Preoperative,Gait,Change after tap/shunt,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Pre/post intervention,IMPROVEMENT,UNADJUSTED/NR,NR,27,NR,NARRATIVE,"Stride length commonly increased, though effect magnitude and timing varied.",OUTCOME_MEASUREMENT,Useful alongside speed and turning metrics.,MESCLADOS 1,M1 pp.226-247,SYSTEMATIC_REVIEW_COMPONENT
F-0061,FT-020,Gait task,Dual-task gait,Cognitive-motor dual task,Preoperative,Gait,Change after tap/shunt,STATISTICAL_CHANGE_ONLY,CURTO,Pre/post intervention,VARIABLE,UNADJUSTED/NR,NR,Subset,NR,NARRATIVE,"Dual-task measures may reveal deficits not captured by single-task walking, but response evidence was inconsistent.",OUTCOME_MEASUREMENT,Potential sensitive endpoint; standardization needed.,MESCLADOS 1,M1 pp.226-247,SYSTEMATIC_REVIEW_COMPONENT
F-0062,FT-020,Response measurement,Tap-test versus shunt gait response,Heterogeneous tests/timing,Preoperative,Gait,Short-term and postoperative change,AUTHOR_DEFINED,INDETERMINADO,Shunt response,"CORRELATED IN SOME STUDIES, NOT IDENTICAL",UNADJUSTED/NR,NR,27,NR,NARRATIVE,Acute gait response after tap and later shunt response were related but not interchangeable.,RESPONSE_CLASSIFIER,Do not count tap response as shunt response.,MESCLADOS 1,M1 pp.226-247,SYSTEMATIC_REVIEW_COMPONENT
F-0063,FT-021,Machine learning,ML model using clinical/imaging features,Various algorithms; no common cutoff,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,"PROMISING, HIGH RISK OF BIAS",UNADJUSTED/NR,NR,4,262,SWIM/NARRATIVE,Four studies predicted post-shunt response; performance estimates were heterogeneous and validation limited.,RESPONSE_CLASSIFIER,Not ready for surgical decision support.,MESCLADOS 1,M1 pp.149-158,SYSTEMATIC_REVIEW_COMPONENT
F-0064,FT-021,Machine learning,ML model predicting temporary drainage response,Various algorithms,Preoperative,Gait/global,Response after tap/ELD,AUTHOR_DEFINED,CURTO,Temporary drainage response,NOT SHUNT RESPONSE,UNADJUSTED/NR,NR,4,217,SWIM/NARRATIVE,Four studies predicted drainage response and must not be interpreted as direct prediction of shunt benefit.,RESPONSE_CLASSIFIER,Reference-standard mismatch limits clinical translation.,MESCLADOS 1,M1 pp.149-158,SYSTEMATIC_REVIEW_COMPONENT
F-0065,FT-021,Model validation,External validation,Held-out/external cohorts,Preoperative,Global response,Model discrimination/calibration,AUTHOR_DEFINED,INDETERMINADO,Shunt or drainage response,RARE/ABSENT,UNADJUSTED/NR,NR,8,479,PROBAST-INFORMED NARRATIVE,Most models lacked robust external validation and calibration reporting.,RESPONSE_CLASSIFIER,High optimism risk.,MESCLADOS 1,M1 pp.152-158,SYSTEMATIC_REVIEW_COMPONENT
F-0066,FT-021,Predictor set,Multimodal clinical + imaging features,Heterogeneous feature engineering,Preoperative,Global response,Model-predicted response,AUTHOR_DEFINED,INDETERMINADO,Shunt response subset,POTENTIALLY ADDITIVE,UNADJUSTED/NR,NR,8,479,NARRATIVE,"Combined features generally appeared more promising than single markers, without proof of transportability.",RESPONSE_CLASSIFIER,Prospective validation and decision-curve analysis needed.,MESCLADOS 1,M1 pp.149-158,SYSTEMATIC_REVIEW_COMPONENT
F-0067,FT-022,Structural MRI,Evans index >0.4,Binary threshold in own cohort,Preoperative,Global response,Study-defined shunt response,AUTHOR_DEFINED,CURTO,Post-shunt response at 1 month,LOWER RESPONSE,UNIVARIABLE,NR,1,192,OWN COHORT LOGISTIC REGRESSION,OR 0.31 (95% CI 0.12-0.81; p=0.017) at 1 month.,PROGNOSTIC_FACTOR,Short-term association in one cohort; not sustained at 1 year.,MESCLADOS 3,M3 pp.208-211,OWN_COHORT
F-0068,FT-022,Structural MRI,Evans index >0.4,Same threshold,Preoperative,Global response,Study-defined shunt response,AUTHOR_DEFINED,INTERMEDIÁRIO,Post-shunt response at 1 year,NO ASSOCIATION,UNIVARIABLE,NR,1,192,OWN COHORT LOGISTIC REGRESSION,OR 0.50 (95% CI 0.18-1.38; p=0.182).,PROGNOSTIC_FACTOR,Not a reliable long-term classifier.,MESCLADOS 3,M3 pp.208-211,OWN_COHORT
F-0069,FT-022,Structural MRI,DESH/high-convexity tightness/Sylvian fissure enlargement,Visual binary features,Preoperative,Global response,Shunt response,AUTHOR_DEFINED,INTERMEDIÁRIO,Post-shunt response,NO ASSOCIATION IN OWN COHORT,UNIVARIABLE,NR,1,192,OWN COHORT,None significantly predicted 1-year response.,PROGNOSTIC_FACTOR,Absence should not exclude shunting.,MESCLADOS 3,M3 pp.209-211,OWN_COHORT
F-0070,FT-022,Structural MRI,Preoperative MRI markers,21-study systematic component,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Shunt response,INCONSISTENT,UNADJUSTED/NR,NR,21,NÃO EXTRAÍVEL,SYSTEMATIC REVIEW/META-ANALYSIS,"Across 21 studies, no preoperative MRI feature was sufficiently consistent as a standalone predictor.",RESPONSE_CLASSIFIER,"Use imaging for diagnosis/phenotyping, not solitary exclusion.",MESCLADOS 3,M3 pp.208-213,SYSTEMATIC_REVIEW_COMPONENT
F-0071,FT-022,Postoperative imaging,Corpus callosal signal change,"Postoperative, not preoperative",Postoperative,Complications,Imaging change/clinical course,NOT_REPORTED,INTERMEDIÁRIO,Postoperative finding,NA FOR PREOPERATIVE PREDICTION,UNADJUSTED/NR,NR,1,192,OWN COHORT,Postoperative corpus callosal changes were described but are outside preoperative predictor eligibility.,OUTCOME_MEASUREMENT,Do not use as preoperative predictor.,MESCLADOS 3,M3 pp.206-213,OWN_COHORT
F-0072,FT-023,Imaging,Callosal angle,Heterogeneous imaging definitions/cutoffs,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,INCONSISTENT/PRELIMINARY,UNADJUSTED/NR,NR,Subset of 28,NR,NARRATIVE,"Smaller angle associated with response in several studies, but cutoffs/planes varied.",RESPONSE_CLASSIFIER,Not sufficient as a sole surgical selector.,MESCLADOS 3,M3 pp.23-28,SYSTEMATIC_REVIEW_COMPONENT
F-0073,FT-023,Imaging,DESH/high-convexity tightness,Heterogeneous imaging definitions/cutoffs,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,INCONSISTENT/PRELIMINARY,UNADJUSTED/NR,NR,Subset of 28,NR,NARRATIVE,Positive associations in some cohorts; negative evidence also present.,RESPONSE_CLASSIFIER,Not sufficient as a sole surgical selector.,MESCLADOS 3,M3 pp.23-28,SYSTEMATIC_REVIEW_COMPONENT
F-0074,FT-023,Imaging,Periventricular white-matter changes,Heterogeneous imaging definitions/cutoffs,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,INCONSISTENT/PRELIMINARY,UNADJUSTED/NR,NR,Subset of 28,NR,NARRATIVE,Generally weak/inconsistent association; should not exclude shunting.,RESPONSE_CLASSIFIER,Not sufficient as a sole surgical selector.,MESCLADOS 3,M3 pp.23-28,SYSTEMATIC_REVIEW_COMPONENT
F-0075,FT-023,Imaging,Aqueductal flow/flow void,Heterogeneous imaging definitions/cutoffs,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,INCONSISTENT/PRELIMINARY,UNADJUSTED/NR,NR,Subset of 28,NR,NARRATIVE,Inconsistent predictive performance.,RESPONSE_CLASSIFIER,Not sufficient as a sole surgical selector.,MESCLADOS 3,M3 pp.23-28,SYSTEMATIC_REVIEW_COMPONENT
F-0076,FT-023,Imaging,Volumetry/advanced MRI or ML,Heterogeneous imaging definitions/cutoffs,Preoperative,Global response,Post-shunt responder status,AUTHOR_DEFINED,INDETERMINADO,Shunt outcome,INCONSISTENT/PRELIMINARY,UNADJUSTED/NR,NR,Subset of 28,NR,NARRATIVE,Promising in small studies without external validation.,RESPONSE_CLASSIFIER,Not sufficient as a sole surgical selector.,MESCLADOS 3,M3 pp.23-29,SYSTEMATIC_REVIEW_COMPONENT
F-0077,FT-024,Gait parameter,Gait velocity,Instrumented/timed walking; standardized mean difference,Preoperative,Gait,Difference versus controls and change after CSF intervention,STATISTICAL_CHANGE_ONLY,CURTO,Pre/post tap or shunt,IMPROVEMENT,UNADJUSTED/NR,NR,17,527,RANDOM-EFFECTS META-ANALYSIS,Meta-analysis supported increased gait velocity after CSF drainage/shunt; exact pooled estimates vary by comparison.,OUTCOME_MEASUREMENT,Sensitive outcome; not itself a preoperative predictor unless linked to shunt response.,MESCLADOS 2,M2 pp.192-201,SYSTEMATIC_REVIEW_COMPONENT
F-0078,FT-024,Gait parameter,Stride length,Instrumented gait,Preoperative,Gait,Change after intervention,STATISTICAL_CHANGE_ONLY,CURTO,Pre/post intervention,IMPROVEMENT,UNADJUSTED/NR,NR,Subset,NR,META-ANALYSIS,Stride length improved after CSF intervention in pooled analyses.,OUTCOME_MEASUREMENT,Include in standardized gait battery.,MESCLADOS 2,M2 pp.192-201,SYSTEMATIC_REVIEW_COMPONENT
F-0079,FT-024,Gait parameter,Cadence,Instrumented gait,Preoperative,Gait,Change after intervention,STATISTICAL_CHANGE_ONLY,CURTO,Pre/post intervention,VARIABLE,UNADJUSTED/NR,NR,Subset,NR,META-ANALYSIS,Cadence was less consistently responsive than velocity/stride length.,OUTCOME_MEASUREMENT,Do not rely on cadence alone.,MESCLADOS 2,M2 pp.192-201,SYSTEMATIC_REVIEW_COMPONENT
F-0080,FT-024,Measurement heterogeneity,Gait protocol and technology,"Different walk distances, sensors and timing",Preoperative,Gait,Treatment response,NOT_REPORTED,INDETERMINADO,Pre/post intervention,HIGH HETEROGENEITY,UNADJUSTED/NR,NR,17,527,SYSTEMATIC REVIEW,Protocol heterogeneity limited cross-study comparability.,OUTCOME_MEASUREMENT,"Standardize task, footwear, assistive devices and assessment time.",MESCLADOS 2,M2 pp.192-201,SYSTEMATIC_REVIEW_COMPONENT
F-0081,FT-025,Outcome measurement,Health-related quality of life instruments,SF-36/EQ-5D and other instruments; heterogeneous,Preoperative,Quality of life,Post-shunt HRQoL change,STATISTICAL_CHANGE_ONLY,INDETERMINADO,Within-subject change,GENERALLY IMPROVES,UNADJUSTED/NR,NR,12,NR,NARRATIVE,"Most studies reported HRQoL improvement after shunting, with substantial heterogeneity in instruments and timing.",OUTCOME_MEASUREMENT,HRQoL should be a core patient-centered outcome.,MESCLADOS 3,M3 pp.157-164,SYSTEMATIC_REVIEW_COMPONENT
F-0082,FT-025,Outcome measurement,Caregiver/patient perspective,Patient-reported HRQoL,Preoperative,Quality of life,Perceived benefit,PATIENT_CAREGIVER_REPORT,INDETERMINADO,Post-shunt status,UNDERUSED,UNADJUSTED/NR,NR,12,NR,NARRATIVE,Patient-centered outcomes were not uniformly captured and were not equivalent to clinician-rated response.,OUTCOME_MEASUREMENT,Counseling should include expected daily-life and QoL gains.,MESCLADOS 3,M3 pp.157-164,SYSTEMATIC_REVIEW_COMPONENT
F-0083,FT-027,Machine learning,Treatment-response models,Clinical/imaging/CSF features; varied algorithms,Preoperative,Global response,Shunt or drainage response,AUTHOR_DEFINED,INDETERMINADO,Response labels,PROMISING BUT HIGH BIAS,UNADJUSTED/NR,NR,Treatment subset of 22,NR,NARRATIVE,Response models reported encouraging performance but frequently had high/unclear PROBAST risk.,RESPONSE_CLASSIFIER,Not validated for routine selection.,MESCLADOS 2,M2 pp.161-172,SYSTEMATIC_REVIEW_COMPONENT
F-0084,FT-027,Reference standard,Temporary drainage response labels,Tap/ELD response,Preoperative,Gait/global,Temporary response,AUTHOR_DEFINED,CURTO,Temporary CSF drainage,NOT SHUNT RESPONSE,UNADJUSTED/NR,NR,Subset,NR,NARRATIVE,Some ML studies predicted drainage response rather than postoperative shunt benefit.,RESPONSE_CLASSIFIER,Keep index-test and shunt reference standards separate.,MESCLADOS 2,M2 pp.161-172,SYSTEMATIC_REVIEW_COMPONENT
F-0085,FT-027,Model performance,External validation/calibration,Varied/limited,Preoperative,Global response,Model discrimination,NOT_REPORTED,INDETERMINADO,Shunt response,INSUFFICIENT,UNADJUSTED/NR,NR,22,NR,PROBAST-INFORMED NARRATIVE,External validation and calibration were uncommon.,RESPONSE_CLASSIFIER,Prospective multicenter validation required.,MESCLADOS 2,M2 pp.161-172,SYSTEMATIC_REVIEW_COMPONENT
F-0086,FT-028,Radiology,Callosal angle,Study-specific imaging definition/cutoff,Preoperative,Global response,Responder versus non-responder after shunt,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,STATISTICALLY DIFFERENT BUT WEAK,UNADJUSTED/NR,NR,Meta-analyzed,NR,UNIVARIATE META-ANALYSIS,DOR 1.88.,RESPONSE_CLASSIFIER,Insufficient as a sole predictor.,MESCLADOS 3,"M3 pp.106, 139-145",SYSTEMATIC_REVIEW_COMPONENT
F-0087,FT-028,Radiology,Periventricular white-matter changes,Study-specific imaging definition/cutoff,Preoperative,Global response,Responder versus non-responder after shunt,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,STATISTICALLY DIFFERENT BUT CLINICALLY NEGLIGIBLE,UNADJUSTED/NR,NR,Meta-analyzed,NR,UNIVARIATE META-ANALYSIS,DOR 1.01.,RESPONSE_CLASSIFIER,Insufficient as a sole predictor.,MESCLADOS 3,"M3 pp.106, 139-145",SYSTEMATIC_REVIEW_COMPONENT
F-0088,FT-028,Radiology,DESH,Study-specific imaging definition/cutoff,Preoperative,Global response,Responder versus non-responder after shunt,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,NO SIGNIFICANT DIFFERENTIATION,UNADJUSTED/NR,NR,Meta-analyzed,NR,UNIVARIATE META-ANALYSIS,Pooled result not significant; exact effect retained in Quantitative_Estimates where extractable.,RESPONSE_CLASSIFIER,Insufficient as a sole predictor.,MESCLADOS 3,"M3 pp.106, 139-145",SYSTEMATIC_REVIEW_COMPONENT
F-0089,FT-028,Radiology,Cerebral blood flow,Study-specific imaging definition/cutoff,Preoperative,Global response,Responder versus non-responder after shunt,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,NO CONSISTENT POOLED DIFFERENTIATION,UNADJUSTED/NR,NR,Meta-analyzed,NR,UNIVARIATE META-ANALYSIS,Pooled result not significant; exact effect retained in Quantitative_Estimates where extractable.,RESPONSE_CLASSIFIER,Insufficient as a sole predictor.,MESCLADOS 3,"M3 pp.106, 139-145",SYSTEMATIC_REVIEW_COMPONENT
F-0090,FT-028,Radiology,CT cisternography,Study-specific imaging definition/cutoff,Preoperative,Global response,Responder versus non-responder after shunt,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,NO SIGNIFICANT DIFFERENTIATION,UNADJUSTED/NR,NR,Meta-analyzed,NR,UNIVARIATE META-ANALYSIS,Pooled result not significant; exact effect retained in Quantitative_Estimates where extractable.,RESPONSE_CLASSIFIER,Insufficient as a sole predictor.,MESCLADOS 3,"M3 pp.106, 139-145",SYSTEMATIC_REVIEW_COMPONENT
F-0091,FT-028,Radiology,Evans index,Various thresholds,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,INCONSISTENT,UNADJUSTED/NR,NR,5,NR,NARRATIVE,No consistent discrimination across studies.,RESPONSE_CLASSIFIER,Ventriculomegaly severity should not be used alone to deny shunt.,MESCLADOS 3,M3 pp.119-120,SYSTEMATIC_REVIEW_COMPONENT
F-0092,FT-028,Radiology,Aqueductal flow/CSF dynamics MRI,"Flow void, stroke volume and related measures",Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,INCONSISTENT,UNADJUSTED/NR,NR,Multiple,NR,NARRATIVE,Promising single-study results were not consistently replicated.,RESPONSE_CLASSIFIER,Not a standalone selector.,MESCLADOS 3,M3 pp.129-136,SYSTEMATIC_REVIEW_COMPONENT
F-0093,FT-028,Perfusion challenge,Acetazolamide cerebrovascular reactivity,SPECT/DSC metrics,Preoperative,Global response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,PROMISING IN SINGLE STUDIES,UNADJUSTED/NR,NR,Sparse,NR,NARRATIVE,Selected perfusion/CVR measures showed high single-study sensitivity/specificity but lacked replication.,RESPONSE_CLASSIFIER,Research adjunct.,MESCLADOS 3,M3 pp.135-138,SYSTEMATIC_REVIEW_COMPONENT
F-0094,FT-029,Preoperative imaging,Callosal angle,MRI/CT; study-specific definitions,Preoperative,Global response,Summary assessment of gait+cognition+urinary response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt triad response,INCONSISTENT,UNADJUSTED/NR,NR,Subset of 27,NR,NARRATIVE,Associations were reported in several studies but measurement plane/cutoffs and response definitions varied.,RESPONSE_CLASSIFIER,Preoperative imaging should not be a solitary rule-in/rule-out test.,MESCLADOS 1,M1 pp.89-102,SYSTEMATIC_REVIEW_COMPONENT
F-0095,FT-029,Preoperative imaging,DESH,MRI/CT; study-specific definitions,Preoperative,Global response,Summary assessment of gait+cognition+urinary response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt triad response,INCONSISTENT,UNADJUSTED/NR,NR,Subset of 27,NR,NARRATIVE,No consistent repeated difference between responders and non-responders.,RESPONSE_CLASSIFIER,Preoperative imaging should not be a solitary rule-in/rule-out test.,MESCLADOS 1,M1 pp.89-102,SYSTEMATIC_REVIEW_COMPONENT
F-0096,FT-029,Preoperative imaging,Evans index,MRI/CT; study-specific definitions,Preoperative,Global response,Summary assessment of gait+cognition+urinary response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt triad response,INCONSISTENT,UNADJUSTED/NR,NR,Subset of 27,NR,NARRATIVE,Generally not predictive of shunt response.,RESPONSE_CLASSIFIER,Preoperative imaging should not be a solitary rule-in/rule-out test.,MESCLADOS 1,M1 pp.89-102,SYSTEMATIC_REVIEW_COMPONENT
F-0097,FT-029,Preoperative imaging,White-matter changes,MRI/CT; study-specific definitions,Preoperative,Global response,Summary assessment of gait+cognition+urinary response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt triad response,INCONSISTENT,UNADJUSTED/NR,NR,Subset of 27,NR,NARRATIVE,Presence/burden did not consistently predict lack of response.,RESPONSE_CLASSIFIER,Preoperative imaging should not be a solitary rule-in/rule-out test.,MESCLADOS 1,M1 pp.89-102,SYSTEMATIC_REVIEW_COMPONENT
F-0098,FT-029,Preoperative imaging,Aqueductal flow/flow void,MRI/CT; study-specific definitions,Preoperative,Global response,Summary assessment of gait+cognition+urinary response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt triad response,INCONSISTENT,UNADJUSTED/NR,NR,Subset of 27,NR,NARRATIVE,Results were conflicting.,RESPONSE_CLASSIFIER,Preoperative imaging should not be a solitary rule-in/rule-out test.,MESCLADOS 1,M1 pp.89-102,SYSTEMATIC_REVIEW_COMPONENT
F-0099,FT-029,Preoperative imaging,Perfusion/CBF,MRI/CT; study-specific definitions,Preoperative,Global response,Summary assessment of gait+cognition+urinary response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt triad response,INCONSISTENT,UNADJUSTED/NR,NR,Subset of 27,NR,NARRATIVE,Small studies reported possible associations without reproducibility.,RESPONSE_CLASSIFIER,Preoperative imaging should not be a solitary rule-in/rule-out test.,MESCLADOS 1,M1 pp.89-102,SYSTEMATIC_REVIEW_COMPONENT
F-0100,FT-029,Preoperative imaging,Volumetry,MRI/CT; study-specific definitions,Preoperative,Global response,Summary assessment of gait+cognition+urinary response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt triad response,INCONSISTENT,UNADJUSTED/NR,NR,Subset of 27,NR,NARRATIVE,Promising but heterogeneous and often single-center.,RESPONSE_CLASSIFIER,Preoperative imaging should not be a solitary rule-in/rule-out test.,MESCLADOS 1,M1 pp.89-102,SYSTEMATIC_REVIEW_COMPONENT
F-0101,FT-029,Preoperative imaging,Composite imaging scores,MRI/CT; study-specific definitions,Preoperative,Global response,Summary assessment of gait+cognition+urinary response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt triad response,INCONSISTENT,UNADJUSTED/NR,NR,Subset of 27,NR,NARRATIVE,No validated composite score reliably predicted response.,RESPONSE_CLASSIFIER,Preoperative imaging should not be a solitary rule-in/rule-out test.,MESCLADOS 1,M1 pp.89-102,SYSTEMATIC_REVIEW_COMPONENT
F-0102,FT-030,CSF biomarker,Phosphorylated tau,Preoperative lumbar CSF; standardized mean difference,Preoperative,Global response,Responder versus non-responder,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,HIGHER IN NON-RESPONDERS,UNADJUSTED/NR,NR,≥3; meta-analysis,NR,RANDOM-EFFECTS META-ANALYSIS,"SMD -0.55, p=0.04 (direction coded in review: higher p-tau in non-responders).",PROGNOSTIC_FACTOR,Suggests neurodegenerative burden may reduce response; not an exclusion threshold.,MESCLADOS 3,"M3 pp.78, 88-90",SYSTEMATIC_REVIEW_COMPONENT
F-0103,FT-030,CSF biomarker,Total tau,Preoperative lumbar CSF; SMD,Preoperative,Global response,Responder versus non-responder,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,HIGHER IN NON-RESPONDERS,UNADJUSTED/NR,NR,≥3,NR,RANDOM-EFFECTS META-ANALYSIS,"SMD -0.50, p=0.02.",PROGNOSTIC_FACTOR,"Association is prognostic, not a treatment-effect modifier.",MESCLADOS 3,"M3 pp.78, 88-90",SYSTEMATIC_REVIEW_COMPONENT
F-0104,FT-030,CSF biomarker,Amyloid-β1-42,Preoperative lumbar CSF; SMD,Preoperative,Global response,Responder versus non-responder,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,NO DIFFERENCE,UNADJUSTED/NR,NR,4,254,RANDOM-EFFECTS META-ANALYSIS,"SMD -0.26, p=0.55.",PROGNOSTIC_FACTOR,Aβ42 alone did not discriminate response.,MESCLADOS 3,"M3 pp.78, 88-90",SYSTEMATIC_REVIEW_COMPONENT
F-0105,FT-030,CSF/venous biomarkers,Miscellaneous biomarkers/genotyping,Study-specific assays,Preoperative,Global/domain response,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,MOSTLY INCONSISTENT,UNADJUSTED/NR,NR,7,NR,NARRATIVE,No other biomarker had reproducible evidence across studies.,PROGNOSTIC_FACTOR,No clinically validated single biomarker.,MESCLADOS 3,M3 pp.87-96,SYSTEMATIC_REVIEW_COMPONENT
F-0106,FT-030,Biomarker phenotype,Alzheimer-type CSF profile,Aβ/tau patterns,Preoperative,Cognition/global,Post-shunt response,AUTHOR_DEFINED,INDETERMINADO,Post-shunt response,POSSIBLE LOWER RESPONSE,UNADJUSTED/NR,NR,Multiple overlapping cohorts,NR,META/NARRATIVE,"Tau elevations, rather than Aβ42 alone, were the clearest pooled signal.",PROGNOSTIC_FACTOR,Use for counseling about domain-specific and durable recovery.,MESCLADOS 3,M3 pp.78-96,SYSTEMATIC_REVIEW_COMPONENT
